name,salary
Persona Signs,{}
FORD'S COLONY COUNTRY CLUB,{}
Ralphs,"{""Courtesy Associate"":""$14.78 per hour"",""Deli Associate"":""$11.84 per hour"",""Clerk"":""$10.90 per hour""}"
Credit Suisse,"{""Assistant Vice President"":""$106,273 per year"",""Vice President"":""$157,390 per year"",""Administrative Assistant"":""$77,817 per year""}"
Five Below,"{""Sales Associate"":""$10.31 per hour"",""Cashier"":""$11.35 per hour"",""Cashier/Sales"":""$9.61 per hour""}"
Newegg,"{""Customer Service Representative"":""$13.45 per hour"",""Merchandise Manager"":""$52,050 per year"",""Merchandiser"":""$52,953 per year""}"
Central Minnesota Mental Health Center,{}
Quality Marketing Group,"{""Agent"":""$16.61 per hour"",""Sales Manager"":""$712 per week"",""Closer"":""$14.71 per hour""}"
NORMAN PUBLIC SCHOOLS,{}
LidWorks,"{""Machine Operator"":""$15.40 per hour"",""Packer"":""$10.12 per hour"",""Quality Technician"":""$14.11 per hour""}"
BlockBuster Costumes LLC.,"{""Packer"":""$11.18 per hour"",""Fulfillment Associate"":""$11.89 per hour"",""Seasonal Associate"":""$11.55 per hour""}"
Katella Senior Living Community,{}
Kamps Pallets,"{""Laborer"":""$16.55 per hour"",""Truck Driver"":""$19.63 per hour"",""Forklift Operator"":""$15.31 per hour""}"
LHC Group,"{""Home Health Aide"":""$9.93 per hour"",""Registered Nurse"":""$69,628 per year"",""Licensed Practical Nurse"":""$47,033 per year""}"
NorthCrest Health,{}
ArcLight Cinemas,"{""Crew Member"":""$13.11 per hour"",""Operations Manager"":""$19.57 per hour""}"
Middle Tennessee State University,"{""Secretary"":""$28,827 per year"",""Coordinator"":""$34,091 per year"",""Office Supervisor"":""$31,757 per year""}"
California Institute of Technology,"{""Post-doctoral Fellow"":""$49,621 per year"",""Researcher"":""$56,164 per year""}"
Advanced Resources,"{""Administrative Assistant"":""$16.19 per hour"",""Customer Service Representative"":""$15.67 per hour"",""Accounts Payable Clerk"":""$15.41 per hour""}"
East Lake Woodlands Country Club,{}
Paul Miller Trucking,"{""Driver"":""$73,973 per year"",""Truck Driver"":""$1,385 per week"",""Driver Manager"":""$44,406 per year""}"
Sprinturf,"{""Project Manager"":""$63,514 per year"",""Sales Trainee"":""$34,648 per year""}"
LGSTX Services,"{""Cargo Handler"":""$12.08 per hour"",""Material Handler"":""$20.01 per hour"",""Mechanic"":""$17.56 per hour""}"
CSL Behring,"{""Phlebotomist"":""$12.72 per hour"",""Receptionist"":""$11.64 per hour"",""Production Supervisor"":""$46,382 per year""}"
Woodard & Curran,{}
VIRGINIA HEALTH SERVICES,"{""Nursing Assistant"":""$10.79 per hour"",""Licensed Practical Nurse"":""$18.44 per hour"",""Rehabilitation Technician"":""$10.49 per hour""}"
"Esperion Therapeutics, Inc.","{""Senior Manager"":""$120,542 per year"",""Manager"":""$142,135 per year"",""Territory Manager"":""$81,905 per year""}"
Pinellas County Sheriff's Office,{}
Heritage Financial Credit Union,{}
Sun Valley Specialty Healthcare,{}
AREATREND,"{""Fulfillment Associate"":""$12.72 per hour"",""Customer Service Representative"":""$9.74 per hour"",""Buyer"":""$8.40 per hour""}"
Fox Valley Metal-Tech,{}
"Agfinity, Inc.","{""Cashier/Sales"":""$11.84 per hour"",""Sales Associate"":""$11.75 per hour"",""Customer Service Representative"":""$15.61 per hour""}"
"Geophysical Survey Systems, Inc.",{}
Great American Insurance Group,"{""Customer Service Representative"":""$15.18 per hour"",""Data Entry Clerk"":""$19.02 per hour"",""Business Developer"":""$70,717 per year""}"
Parkview Medical Center,"{""Registered Nurse"":""$61,489 per year"",""Office Assistant"":""$38,392 per year"",""Medical Assistant"":""$34,880 per year""}"
Tacos 4 Life,"{""Line Cook"":""$10.76 per hour"",""Cashier"":""$10.44 per hour"",""Cook/Dishwasher"":""$11.07 per hour""}"
"Grace Home Healthcare, LLC",{}
Missouri State University,"{""Administrative Assistant"":""$13.11 per hour"",""Student Worker"":""$9.45 per hour"",""Administrative Specialist"":""$14.61 per hour""}"
BMC-Building Materials and Construction Solutions,"{""Truck Driver"":""$17.19 per hour"",""Assembler"":""$14.75 per hour"",""Forklift Operator"":""$14.54 per hour""}"
All Metro Health Care,"{""Personal Care Assistant"":""$11.36 per hour"",""Home Health Aide"":""$11.14 per hour"",""Assistant"":""$10.77 per hour""}"
Centurion & Supreme Boats,{}
Samaritas,"{""Case Manager"":""$16.69 per hour"",""Youth Specialist"":""$12.57 per hour"",""Caregiver"":""$10.02 per hour""}"
Northwest Lineman College,"{""Operations Coordinator"":""$20.05 per hour"",""Instructor"":""$60.94 per hour"",""Administrative Assistant"":""$16.75 per hour""}"
"First Federal Savings and Loan Association of Port Angeles, WA",{}
Vision Dynamics Optometric Center,{}
JumpRydz,{}
Maui Jim Sunglasses,{}
Maple Leaf Health Care,{}
Angels at Home Care,{}
Fourwinds Lakeside Inn & Marina,"{""Housekeeper"":""$11.54 per hour"",""Room Attendant"":""$13.00 per hour"",""Line Cook"":""$10.49 per hour""}"
Superior Skilled Trades,"{""Recruiter"":""$36,465 per year"",""Journeyman Electrician"":""$29.08 per hour"",""Electrician"":""$22.02 per hour""}"
PacificSource Health Plans,"{""Customer Service Representative"":""$17.34 per hour"",""Compliance Officer"":""$60,542 per year"",""Utility Worker"":""$127,629 per year""}"
Anjolique Bridal and Formal,{}
Textron Systems,{}
Premier Pools & Spas,"{""Designer"":""$97,051 per year"",""Scheduler"":""$15.12 per hour"",""Sales Representative"":""$80,388 per year""}"
HME,"{""Technical Support Representative"":""$44,858 per year"",""Senior Assembler"":""$35,413 per year"",""Janitor"":""$39,172 per year""}"
Slingshot,"{""Customer Service Representative"":""$11.70 per hour"",""Sales Representative"":""$16.21 per hour"",""Commissioner"":""$16.00 per hour""}"
Meridian Health Plan,"{""Care Coordinator"":""$41,861 per year"",""Benefits Coordinator"":""$17.00 per hour"",""Medical Transcriptionist"":""$45.00 per hour""}"
Sport Clips,"{""Stylist"":""$15.64 per hour"",""Hair Stylist"":""$22,787 per year"",""Cosmetologist"":""$15.28 per hour""}"
Berlin Nursing and Rehabilitation Center,{}
Alignment Healthcare,"{""Medical Assistant"":""$36,692 per year"",""Case Manager"":""$74,255 per year"",""Concierge"":""$29,717 per year""}"
Tulsa Public Schools,"{""Teacher"":""$38,296 per year"",""Substitute Teacher"":""$63.98 per day"",""Special Education Teacher"":""$28,538 per year""}"
WAHLBURGERS,"{""Host/Hostess"":""$24,188 per year"",""Server"":""$24,800 per year"",""Prep Cook"":""$24,544 per year""}"
McCarthy Tire Service Company,"{""Tire Technician"":""$14.35 per hour"",""Service Technician"":""$12.00 per hour"",""Automotive Technician"":""$18.48 per hour""}"
AbleVets LLC,"{""Technical Project Manager"":""$139,996 per year"",""Management Consultant"":""$146,795 per year"",""Analyst"":""$80,055 per year""}"
Station Casinos,"{""Guest Service Agent"":""$54,774 per year"",""Room Attendant"":""$13.41 per hour"",""Assistant Manager"":""$38,143 per year""}"
,{}
E-One,{}
San Antonio Winery,"{""Stocking Associate"":""$10.98 per hour"",""E-commerce Specialist"":""$19.10 per hour"",""Customer Service Representative"":""$14.76 per hour""}"
Saint Alphonsus Health System,"{""Registered Nurse - Operating Room"":""$36.20 per hour"",""Nursing Assistant"":""$15.36 per hour""}"
Barber National Institute,"{""Direct Support Professional"":""$12.72 per hour"",""Assistant"":""$11.28 per hour"",""Mental Health Technician"":""$13.88 per hour""}"
Home Consignment Center,"{""Sales Associate"":""$14.70 per hour"",""Mover"":""$13.02 per hour"",""Sales Representative"":""$14.43 per hour""}"
C2 Technologies Inc,{}
InnoSource,"{""Customer Service Representative"":""$35,119 per year"",""Customer Advocate"":""$32,591 per year"",""Customer Relations Representative"":""$15.23 per hour""}"
PDC Pharmacy,{}
Title Alliance,{}
Mount Sinai Medical Center - Florida,{}
Optima Health,"{""Care Coordinator"":""$49,677 per year"",""Customer Service Representative"":""$30,220 per year"",""Customer Representative"":""$28.00 per hour""}"
Virginia Beach City Public Schools,"{""Substitute Teacher"":""$105 per day"",""Teacher"":""$29.90 per hour"",""Spanish Teacher"":""$42,910 per year""}"
Peach Tree Place,{}
Thorne Research,{}
Seattle Cancer Care Alliance,{}
A.D. Transport Express,{}
Vendue Hotel,{}
University of Virginia,"{""Teaching Assistant"":""$12.99 per hour"",""Graduate Researcher"":""$28,442 per year"",""Laboratory Technician"":""$33,122 per year""}"
Navy Federal Credit Union,"{""Member Services Representative"":""$16.72 per hour"",""Loan Processor"":""$37,144 per year"",""Delinquency Control Specialist"":""$43,000 per year""}"
Bell Flight,"{""Mechanic"":""$60,570 per year"",""Procurement Specialist"":""$66,213 per year"",""Quality Engineer"":""$57,726 per year""}"
WeddingWire,{}
Wesley Willows Corporation,{}
Helen of Troy,"{""Forklift Operator"":""$13.82 per hour"",""Packer"":""$10.73 per hour"",""Order Picker"":""$14.05 per hour""}"
NOVO Building Products,"{""Stocker"":""$16.14 per hour"",""Truck Driver"":""$24.00 per hour""}"
Stone Transport,"{""Truck Driver"":""$72,762 per year"",""Driver"":""$57,160 per year"",""Roll Off Driver"":""$74,372 per year""}"
RK Mechanical,"{""Apprentice Plumber"":""$21.06 per hour"",""HVAC Technician"":""$26.64 per hour""}"
Elevate Health Sciences,{}
Samsung Electronics,"{""Consultant"":""$15.39 per hour"",""Engineer"":""$86,435 per year"",""Customer Service Representative"":""$36,187 per year""}"
Volvo,"{""Assembler"":""$19.44 per hour"",""Warehouse Worker"":""$41,202 per year"",""Forklift Operator"":""$13.73 per hour""}"
Romac Industries,"{""Machine Operator"":""$15.29 per hour"",""Forklift Operator"":""$14.57 per hour"",""Assembler"":""$15.18 per hour""}"
Juno Pacific,{}
Veeco,{}
CENTRAL CALIFORNIA BLOOD CENTER,"{""Hospital Service Technician"":""$13.80 per hour"",""Laboratory Technician"":""$14.08 per hour""}"
Sol Flower Wellness Center,"{""Security Officer"":""$14.43 per hour"",""Brand Manager"":""$59,793 per year""}"
The Alden Network,"{""Registered Nurse"":""$29.97 per hour"",""Nursing Assistant"":""$13.51 per hour"",""Assistant"":""$11.97 per hour""}"
Goodwill Central Texas,"{""Retail Supervisor"":""$10.45 per hour"",""Merchandise Processor"":""$9.07 per hour"",""Warehouse Lead"":""$10.89 per hour""}"
NASCAR SpeedPark Smoky Mountains,"{""Attendant"":""$9.50 per hour"",""Food Service Associate"":""$9.50 per hour"",""Cleaner"":""$10.00 per hour""}"
Valspar,"{""Sales Representative"":""$51,214 per year"",""Forklift Operator"":""$13.91 per hour"",""Batch Maker"":""$47,594 per year""}"
Western State Hospital,"{""Psychiatric Nurse"":""$10.75 per hour"",""Assistant"":""$18,216 per year"",""Mental Health Technician"":""$14.36 per hour""}"
Ryan Company Inc.,"{""Concrete Laborer"":""$21.22 per hour"",""Concrete Finisher"":""$31.19 per hour"",""Carpenter"":""$30.75 per hour""}"
Suburban Hospital,{}
Trinity Armored Security,"{""Driver"":""$12.00 per hour"",""Operations Manager"":""$45,660 per year"",""Guard"":""$11.79 per hour""}"
"Cornerstone OnDemand, Inc.","{""Product Support"":""$67,185 per year"",""Commissioner"":""$63,709 per year"",""Senior Software Engineer"":""$123,088 per year""}"
Daimler AG,"{""Truck Driver"":""$15.41 per hour"",""Assembler"":""$43,848 per year"",""Production Worker"":""$54,065 per year""}"
Continuum Global Solutions,"{""Customer Service Representative"":""$12.41 per hour"",""Call Center Representative"":""$12.68 per hour"",""Technical Support Specialist"":""$12.34 per hour""}"
Ultimate Tax Service Inc.,{}
"Wilson & Company, Inc., Engineers & Architects",{}
The Michaels Organization,"{""Maintenance Technician"":""$14.53 per hour"",""Maintenance Superintendent"":""$15.90 per hour"",""Community Manager"":""$15.58 per hour""}"
"Titan Protection and Consulting, Inc.","{""Security Officer"":""$11.96 per hour"",""Armed Security Officer"":""$13.56 per hour""}"
Zebra Technologies,"{""Repair Technician"":""$13.46 per hour"",""Warehouse Worker"":""$13.28 per hour"",""Contractor"":""$60.00 per hour""}"
ooze,{}
IAC,"{""Operator"":""$11.83 per hour"",""Assembler"":""$11.47 per hour"",""Machine Operator"":""$11.86 per hour""}"
Booking.com,"{""Customer Service Representative"":""$33,193 per year"",""Customer Care Specialist"":""$25,483 per year"",""Executive"":""$34,094 per year""}"
"Powers Candy Co, Inc.","{""Warehouse Worker"":""$8.28 per hour"",""Laborer"":""$8.17 per hour"",""Customer Service Representative"":""$9.15 per hour""}"
Gervasi Vineyard,{}
CoolSys,"{""Service Technician"":""$62,557 per year"",""Refrigeration Technician"":""$26.16 per hour"",""HVAC Technician"":""$28.21 per hour""}"
ABT Associates,"{""Research Interviewer"":""$10.25 per hour"",""Data Collector"":""$20.09 per hour"",""Observer"":""$21.64 per hour""}"
Herzing University,"{""Associate Professor"":""$73,115 per year"",""Student Assistant"":""$10.00 per hour"",""Technical Coordinator"":""$22.36 per hour""}"
Azusa Pacific University,"{""Administrative Assistant"":""$20.20 per hour"",""Instructor"":""$25.00 per hour"",""Campus Safety Officer"":""$21.63 per hour""}"
Advanced Pathology Solutions,"{""Histology Technician"":""$22.84 per hour"",""Coding Specialist"":""$16.79 per hour"",""Laboratory Technician"":""$13.55 per hour""}"
Guaranty Bank & Trust,{}
Ameritas,"{""Benefit Specialist"":""$12.35 per hour"",""Customer Service Representative"":""$51,684 per year"",""Sales Representative"":""$77,119 per year""}"
"Customized Distribution Services, Inc.","{""Forklift Operator"":""$12.41 per hour"",""Warehouse Worker"":""$12.45 per hour"",""Customer Service Representative"":""$16.67 per hour""}"
Grocery Outlet,"{""Cashier"":""$11.36 per hour"",""Customer Service Associate / Cashier"":""$12.04 per hour"",""Stocker"":""$12.93 per hour""}"
Evans Distribution Systems,"{""Quality Assurance Inspector"":""$11.52 per hour"",""Forklift Operator"":""$13.18 per hour"",""Warehouse Worker"":""$10.67 per hour""}"
Buchanan Hauling and Rigging Inc,"{""Truck Driver"":""$800 per week"",""Logistics Specialist"":""$29,224 per year"",""Administrative Assistant"":""$19.19 per hour""}"
"European Service at Home, Inc",{}
,"{""Veterinary Technician"":""$34,411 per year"",""Veterinarian"":""$99,896 per year"",""Area Manager"":""$75,548 per year""}"
"Lakeshore Management, Inc.","{""Community Manager"":""$39,596 per year"",""Property Manager"":""$37,223 per year"",""Maintenance Technician"":""$16.03 per hour""}"
"Turfscape, Inc.","{""Landscape Technician"":""$14.04 per hour"",""Snow Plow Operator"":""$20.24 per hour"",""Crew Leader"":""$15.92 per hour""}"
TWC Services Inc,"{""HVAC Technician"":""$22.46 per hour"",""Service Coordinator"":""$17.47 per hour"",""Senior HVAC Technician"":""$24.62 per hour""}"
VNA Health Care,{}
Adidas,"{""Sales Associate"":""$11.89 per hour"",""Retail Sales Associate"":""$12.29 per hour"",""Team Leader"":""$15.35 per hour""}"
,"{""Editorial Intern"":""$13.26 per hour"",""Marketing Intern"":""$13.87 per hour"",""Public Relations Intern"":""$11.00 per hour""}"
Performance Gear Systems,{}
Service Champions Heating & Air Conditioning,"{""Entry Level Maintenance Technician"":""$58,559 per year"",""Call Center Representative"":""$18.44 per hour"",""Customer Service Representative"":""$19.16 per hour""}"
"Arrowhead West, Inc.",{}
Blue Origin,"{""Shipping and Receiving Clerk"":""$17.89 per hour"",""FPGA Engineer"":""$159,925 per year""}"
American Career College,"{""Instructor"":""$22.44 per hour"",""Director of Nursing"":""$101,639 per year"",""Nursing Instructor"":""$40.17 per hour""}"
Cregger Company,{}
Citizens Commerce Bank,{}
Freight Right Global Logistics,"{""Operations Associate"":""$19.60 per hour"",""Freight Handler"":""$53,626 per year"",""Inside Sales Representative"":""$55,297 per year""}"
Fenner Drives,{}
PROLOGUE INC.,{}
College of Staten Island,"{""College Assistant"":""$13.06 per hour"",""Cook"":""$15.00 per hour"",""Line Cook/Prep Cook"":""$13.49 per hour""}"
"J&M Industries, Inc.",{}
Valvoline,"{""Assistant Manager"":""$15.81 per hour"",""Senior Technician"":""$11.23 per hour"",""Automotive Technician"":""$12.99 per hour""}"
IXL Learning Center-Northville,{}
TekSolv,"{""Technician"":""$13.45 per hour"",""Fire Watch"":""$15.12 per hour"",""Attendant"":""$15.37 per hour""}"
Gurley Leep Automotive Group,"{""Service Advisor"":""$33,036 per year"",""Automotive Mechanic"":""$64,780 per year"",""Sales Associate"":""$36,373 per year""}"
Cool Transports,{}
Lion Raisins,"{""Production Worker"":""$12.66 per hour"",""Forklift Operator"":""$12.95 per hour"",""Industrial Electrician"":""$33.65 per hour""}"
Provo Canyon School,{}
Universal Services Inc.,"{""Driller"":""$61,584 per year"",""Truck Driver"":""$15.39 per hour"",""Technician"":""$14.71 per hour""}"
DJ's Landscape Management,"{""Crew Leader"":""$14.26 per hour"",""Supervisor"":""$49,464 per year"",""Snow Plow Operator"":""$35.49 per hour""}"
"Park West Landscape, Inc.","{""Account Manager"":""$66,177 per year"",""Jardinero/a"":""$15.61 per hour"",""Técnico/a"":""$18.69 per hour""}"
"Preferred Personnel Solutions, Inc.","{""Warehouse Worker"":""$10.39 per hour"",""Production Worker"":""$10.14 per hour"",""Site Manager"":""$36,340 per year""}"
Four Oaks Healthcare,{}
Lenox Financial Mortgage Corporation,{}
Gli Pool Products,"{""Operator"":""$12.85 per hour"",""Machine Operator"":""$11.96 per hour"",""Shipping and Receiving Clerk"":""$15.30 per hour""}"
Keiser University,"{""Admission Counselor"":""$44,693 per year"",""Professor"":""$62,117 per year"",""Instructor"":""$45,897 per year""}"
Peel Wood Fired Pizza,"{""Line Cook/Prep Cook"":""$11.19 per hour"",""Dishwasher"":""$10.75 per hour"",""Server"":""$23.37 per hour""}"
Society Insurance,"{""Actuary"":""$89,179 per year"",""Regional Sales Manager"":""$95,480 per year"",""Receiver"":""$49,008 per year""}"
Pottstown Hospital,{}
ProHEALTH Medical Management,"{""Medical Assistant"":""$15.24 per hour"",""Receptionist"":""$15.27 per hour""}"
Atlantic Key Energy,"{""Canvasser"":""$92,473 per year"",""Appointment Generator"":""$91,872 per year"",""Surveyor"":""$17.32 per hour""}"
Pacific National,{}
